name,rid,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Juncal,12211,Valid,"Iron, IIIAB",104000,Found,1866,-26.000000,-69.250000,"(-26.0, -69.25)"
Molong,16716,Valid,"Pallasite, PMG",104000,Found,1912,-33.283330,148.883330,"(-33.28333, 148.88333)"
Chico,5346,Valid,L6,104800,Found,1954,36.500000,-104.200000,"(36.5, -104.2)"
Cook 001,5421,Valid,H5,105000,Found,1989,-30.333330,130.533330,"(-30.33333, 130.53333)"
Faith,10071,Valid,H5,105000,Found,1952,45.333330,-102.083330,"(45.33333, -102.08333)"
Abee,6,Valid,EH4,107000,Fell,1952,54.216670,-113.000000,"(54.21667, -113.0)"
Elbogen,7823,Valid,"Iron, IID",107000,Fell,1399,50.183330,12.733330,"(50.18333, 12.73333)"
Zhovtnevyi,30407,Valid,H6,107000,Fell,1938,47.583330,37.250000,"(47.58333, 37.25)"
Tiberrhamine,23985,Valid,L6,107000,Found,1967,28.116670,0.533330,"(28.11667, 0.53333)"
Lenarto,12763,Valid,"Iron, IIIAB",108500,Found,1814,49.000000,21.000000,"(49.0, 21.0)"
Mount Tazerzait,16804,Valid,L5,110000,Fell,1991,18.700000,4.800000,"(18.7, 4.8)"
Sulagiri,48951,Valid,LL6,110000,Fell,2008,12.666670,78.033330,"(12.66667, 78.03333)"
Lewis Cliff 85320,12790,Valid,H5,110224,Found,1985,-84.262230,161.416280,"(-84.26223, 161.41628)"
Etosha,10061,Valid,"Iron, IC",110700,Found,1970,-18.500000,16.000000,"(-18.5, 16.0)"
Florey,10112,Valid,H6,110800,Found,1978,32.522500,-102.705000,"(32.5225, -102.705)"
Oakley (iron),17972,Valid,"Iron, IIIF",111000,Found,1926,42.333330,-113.700000,"(42.33333, -113.7)"
Gundaring,11452,Valid,"Iron, IIIAB",112500,Found,1937,-33.300000,117.666670,"(-33.3, 117.66667)"
Buenaventura,5162,Valid,"Iron, IIIAB",113600,Found,1969,29.800000,-107.550000,"(29.8, -107.55)"
Caperr,5263,Valid,"Iron, IIIAB",113900,Found,1869,-45.283330,-70.483330,"(-45.28333, -70.48333)"
Tafassasset,23779,Valid,CR-an,114000,Found,2000,20.763330,10.441670,"(20.76333, 10.44167)"
Cleveland,5379,Valid,"Iron, IIIAB",115000,Found,1860,34.883330,-84.783330,"(34.88333, -84.78333)"
Northwest Africa 6947,54510,Valid,H5,115777,Found,2011,0.000000,0.000000,"(0.0, 0.0)"
Para de Minas,18099,Valid,"Iron, IVA",116300,Found,1934,-19.866670,-44.616670,"(-19.86667, -44.61667)"
Bencubbin,5014,Valid,CBa,118000,Found,1930,-30.750000,117.783330,"(-30.75, 117.78333)"
Scurry,23468,Valid,H5,118000,Found,1937,32.500000,-101.000000,"(32.5, -101.0)"
Duketon,7740,Valid,"Iron, IIIAB",118300,Found,1948,-27.500000,122.366670,"(-27.5, 122.36667)"
Youanmi,30373,Valid,"Iron, IIIAB",118400,Found,1917,-29.500000,118.750000,"(-29.5, 118.75)"
Santiago Papasquiero,23169,Valid,"Iron, ungrouped",119500,Found,1958,24.500000,-106.000000,"(24.5, -106.0)"
Bur-Gheluai,5169,Valid,H5,120000,Fell,1919,5.000000,48.000000,"(5.0, 48.0)"
Jiddat al Harasis 091,12150,Valid,L5,123374,Found,2002,19.693620,56.654320,"(19.69362, 56.65432)"
Dhofar 005,6704,Valid,L6,125500,Found,2000,18.166670,54.166670,"(18.16667, 54.16667)"
Ensisheim,10039,Valid,LL6,127000,Fell,1491,47.866670,7.350000,"(47.86667, 7.35)"
Carthage,5282,Valid,"Iron, IIIAB",127000,Found,1840,36.266670,-85.983330,"(36.26667, -85.98333)"
Ozona,18066,Valid,H6,127500,Found,1929,30.733330,-101.300000,"(30.73333, -101.3)"
Chebankol,5335,Valid,"Iron, IAB-sHL",127760,Found,1938,53.666670,88.000000,"(53.66667, 88.0)"
Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800,Fell,1995,45.500000,119.033330,"(45.5, 119.03333)"
Araslanovo,2324,Valid,L/LL5,132000,Found,1973,55.141670,48.200000,"(55.14167, 48.2)"
Karavannoe,56567,Valid,"Pallasite, PES",132000,Found,,57.781170,47.679670,"(57.78117, 47.67967)"
Yenberrie,30361,Valid,"Iron, IAB-MG",132000,Found,1918,-14.250000,132.016670,"(-14.25, 132.01667)"
Carnegie,5278,Valid,L6,132700,Found,1963,35.166670,-98.643890,"(35.16667, -98.64389)"
Colomera,5404,Valid,"Iron, IIE",134000,Found,1912,37.433330,-3.650000,"(37.43333, -3.65)"
Kesen,12286,Valid,H4,135000,Fell,1850,38.983330,141.616670,"(38.98333, 141.61667)"
Babb's Mill (Blake's Iron),4915,Valid,"Iron, ungrouped",136000,Found,1876,36.300000,-82.883330,"(36.3, -82.88333)"
Cape of Good Hope,5261,Valid,"Iron, IVB",136000,Found,1793,-33.500000,26.000000,"(-33.5, 26.0)"
Derrick Peak A78009,6685,Valid,"Iron, IIAB",138100,Found,1978,-80.066670,156.383330,"(-80.06667, 156.38333)"
Brainard,5131,Valid,"Iron, IIIAB",138300,Found,1978,41.153330,-96.955000,"(41.15333, -96.955)"
Huizopa,11985,Valid,"Iron, IVA",140000,Found,1907,28.900000,-108.566670,"(28.9, -108.56667)"
Ider,11999,Valid,"Iron, IIIAB",140000,Found,1957,34.683330,-85.650000,"(34.68333, -85.65)"
Korra Korrabes,12347,Valid,H3,140000,Found,1996,-25.200000,18.083330,"(-25.2, 18.08333)"
Selma,23486,Valid,H4,140600,Found,1906,32.400000,-87.000000,"(32.4, -87.0)"
Ysleta,30375,Valid,"Iron, ungrouped",140700,Found,1914,31.650000,-106.183330,"(31.65, -106.18333)"
Tambo Quemado,23797,Valid,"Iron, IIIAB",141000,Found,1950,-14.666670,-74.500000,"(-14.66667, -74.5)"
El Sampal,7817,Valid,"Iron, IIIAB",142000,Found,1973,-44.533330,-70.366670,"(-44.53333, -70.36667)"
Keyes,12287,Valid,L6,142000,Found,1939,36.716670,-102.500000,"(36.71667, -102.5)"
Molina,16715,Valid,H5,144000,Fell,1858,38.116670,-1.166670,"(38.11667, -1.16667)"
Wichita County,24257,Valid,"Iron, IAB-MG",145000,Found,1836,34.066670,-98.916670,"(34.06667, -98.91667)"
Gilgoin,10915,Valid,H5,147000,Found,1889,-30.383330,147.200000,"(-30.38333, 147.2)"
Camp Wood,51830,Valid,"Iron, IIIAB",148000,Found,,29.772500,-99.875000,"(29.7725, -99.875)"
Glorieta Mountain,10935,Valid,"Pallasite, PMG-an",148000,Found,1884,35.600000,-105.800000,"(35.6, -105.8)"
Orange River (iron),18023,Valid,"Iron, IIIAB",148800,Found,1855,-30.000000,25.000000,"(-30.0, 25.0)"
Montferré,16727,Valid,H5,149000,Fell,1923,43.390560,1.962500,"(43.39056, 1.9625)"
Mbale,15455,Valid,L5/6,150000,Fell,1992,1.066670,34.166670,"(1.06667, 34.16667)"
Olivenza,18013,Valid,LL5,150000,Fell,1924,38.716670,-7.066670,"(38.71667, -7.06667)"
Weston,24249,Valid,H4,150000,Fell,1807,41.266667,-73.266667,"(41.266667, -73.266667)"
Wiluna,24281,Valid,H5,150000,Fell,1967,-26.592780,120.328330,"(-26.59278, 120.32833)"
Jalu,12070,Valid,L6,150000,Found,2000,27.958330,21.683330,"(27.95833, 21.68333)"
Magura,15388,Valid,"Iron, IAB-MG",150000,Found,1840,49.333330,19.483330,"(49.33333, 19.48333)"
McKinney,15463,Valid,L4,150000,Found,1870,33.183330,-96.716670,"(33.18333, -96.71667)"
Tres Castillos,24047,Valid,"Iron, ungrouped",150000,Found,1992,29.470000,-105.800000,"(29.47, -105.8)"
Yardymly,30352,Valid,"Iron, IAB complex",150200,Fell,1959,38.933330,48.250000,"(38.93333, 48.25)"
Northwest Africa 5940,50826,Valid,H5-6,151000,Found,2009,0.000000,0.000000,"(0.0, 0.0)"
Forest City,10119,Valid,H5,152000,Fell,1890,43.250000,-93.666670,"(43.25, -93.66667)"
Glasatovo,10926,Valid,H4,152000,Fell,1918,57.350000,37.616670,"(57.35, 37.61667)"
Bluff (a),5087,Valid,L5,153300,Found,1878,29.878610,-96.872220,"(29.87861, -96.87222)"
Kimble County,12311,Valid,H6,153800,Found,1918,30.416670,-99.400000,"(30.41667, -99.4)"
Longchang,14695,Valid,"Iron, IVA-an",158500,Found,1781,29.300000,105.300000,"(29.3, 105.3)"
Mount Vernon,16806,Valid,"Pallasite, PMG",159000,Found,1868,36.933330,-87.400000,"(36.93333, -87.4)"
Tenham,23897,Valid,L6,160000,Fell,1879,-25.733330,142.950000,"(-25.73333, 142.95)"
Garabato,10856,Valid,H5,160000,Found,1995,-28.866670,-60.200000,"(-28.86667, -60.2)"
Qijiaojing,54610,Valid,"Iron, ungrouped",160000,Found,2003,43.750000,92.916670,"(43.75, 92.91667)"
Knowles,12334,Valid,"Iron, IIIAB",161000,Found,1903,36.900000,-100.216670,"(36.9, -100.21667)"
São Julião de Moreira,23172,Valid,"Iron, IIAB",162000,Found,1883,41.766110,-8.583610,"(41.76611, -8.58361)"
Zaragoza,48916,Valid,"Iron, IVA-an",162000,Found,,41.650000,-0.866670,"(41.65, -0.86667)"
Djati-Pengilon,7652,Valid,H6,166000,Fell,1884,-7.500000,111.500000,"(-7.5, 111.5)"
Manlai,15407,Valid,"Iron, ungrouped",166800,Found,1954,44.333330,106.500000,"(44.33333, 106.5)"
Madoc,15381,Valid,"Iron, IIIAB",168000,Found,1854,44.500000,-77.466670,"(44.5, -77.46667)"
Owasco,18060,Valid,L6,168400,Found,1984,41.200000,-103.683330,"(41.2, -103.68333)"
Tamir-Tsetserleg,23799,Valid,Stone-uncl,173000,Found,1956,47.450000,101.479170,"(47.45, 101.47917)"
Tanokami Mountain,23872,Valid,"Iron, IIIE",174000,Found,1885,34.916670,135.966670,"(34.91667, 135.96667)"
Zag,30384,Valid,H3-6,175000,Fell,1998,27.333330,-9.333330,"(27.33333, -9.33333)"
Iron Creek,12047,Valid,"Iron, IIIAB",175000,Found,1869,53.000000,-112.000000,"(53.0, -112.0)"
Travis County (a),24040,Valid,H5,175400,Found,1889,30.300000,-97.700000,"(30.3, -97.7)"
Admire,380,Valid,"Pallasite, PMG",180000,Found,1881,38.700000,-96.100000,"(38.7, -96.1)"
Guanghua,11434,Valid,"Iron, IVA",190000,Found,1932,32.400000,111.700000,"(32.4, 111.7)"
Owens Valley,18061,Valid,"Iron, IIIAB",192800,Found,1913,37.466670,-118.000000,"(37.46667, -118.0)"
Kenton County,12280,Valid,"Iron, IIIAB",194000,Found,1889,38.816670,-84.600000,"(38.81667, -84.6)"
Pallasovka,34061,Valid,"Pallasite, PMG",198000,Found,1990,49.866670,46.611670,"(49.86667, 46.61167)"
Kainsaz,12229,Valid,CO3.2,200000,Fell,1937,55.433330,53.250000,"(55.43333, 53.25)"
Kunashak,12377,Valid,L6,200000,Fell,1949,55.783330,61.366670,"(55.78333, 61.36667)"
Saratov,23176,Valid,L4,200000,Fell,1918,52.550000,46.550000,"(52.55, 46.55)"
Barratta,4951,Valid,L4,200000,Found,1845,-35.300000,144.566670,"(-35.3, 144.56667)"
Dimmitt,7645,Valid,H3.7,200000,Found,1942,34.583330,-102.166670,"(34.58333, -102.16667)"
Jiddat al Harasis 055,12119,Valid,L4-5,200000,Found,2004,19.651670,55.690000,"(19.65167, 55.69)"
Liangcheng,14645,Valid,"Iron, IIIAB",200000,Found,1959,40.500000,112.500000,"(40.5, 112.5)"
Moshesh,16756,Valid,H,200000,Found,,-30.100000,28.716670,"(-30.1, 28.71667)"
Patos de Minas (octahedrite),18114,Valid,"Iron, IAB complex",200000,Found,1925,-18.583330,-46.533330,"(-18.58333, -46.53333)"
Porto Alegre,52091,Valid,"Iron, IIIE",200000,Found,2005,-30.033060,-51.230000,"(-30.03306, -51.23)"
Chinga,5353,Valid,"Iron, ungrouped",209400,Found,1913,51.058330,94.400000,"(51.05833, 94.4)"
Ssyromolotovo,23694,Valid,"Iron, IIIAB",217000,Found,1873,58.616670,98.933330,"(58.61667, 98.93333)"
Acuña,373,Valid,"Iron, IIIAB",217700,Found,1981,29.316670,-100.966670,"(29.31667, -100.96667)"
Youxi,55793,Valid,Mesosiderite-C,218000,Found,2006,26.060000,118.010000,"(26.06, 118.01)"
Holbrook,11894,Valid,L/LL6,220000,Fell,1912,34.900000,-110.183330,"(34.9, -110.18333)"
Guixi,11446,Valid,"Iron, IIIAB",220000,Found,,28.283330,117.183330,"(28.28333, 117.18333)"
Bear Creek,4982,Valid,"Iron, IIIAB",227000,Found,1866,39.600000,-105.300000,"(39.6, -105.3)"
Alfianello,466,Valid,L6,228000,Fell,1883,45.266670,10.150000,"(45.26667, 10.15)"
Homestead,11901,Valid,L5,230000,Fell,1875,41.800000,-91.866670,"(41.8, -91.86667)"
New Concord,16953,Valid,L6,230000,Fell,1860,40.000000,-81.766670,"(40.0, -81.76667)"
Muonionalusta,16873,Valid,"Iron, IVA",230000,Found,1906,67.800000,23.100000,"(67.8, 23.1)"
Sacramento Mountains,22794,Valid,"Iron, IIIAB",237200,Found,1890,32.916670,-104.666670,"(32.91667, -104.66667)"
El Hammami,7806,Valid,H5,240000,Found,1997,23.283330,-10.816670,"(23.28333, -10.81667)"
St. Genevieve County,23086,Valid,"Iron, IIIF",244500,Found,1888,37.966670,-90.316670,"(37.96667, -90.31667)"
Shangdu,23523,Valid,"Iron, IIIAB",247000,Found,1957,42.500000,114.000000,"(42.5, 114.0)"
Omolon,18019,Valid,"Pallasite, PMG",250000,Fell,1981,64.020000,161.808330,"(64.02, 161.80833)"
Pultusk,18901,Valid,H5,250000,Fell,1868,52.766670,21.266670,"(52.76667, 21.26667)"
Netschaëvo,16949,Valid,"Iron, IIE-an",250000,Found,1846,54.233330,35.150000,"(54.23333, 35.15)"
Uegit,24105,Valid,"Iron, IIIAB",252000,Found,1921,3.816670,43.333330,"(3.81667, 43.33333)"
Boguslavka,5098,Valid,"Iron, IIAB",256000,Fell,1916,44.550000,131.633330,"(44.55, 131.63333)"
Dhofar 020,6719,Valid,H4/5,256000,Found,2000,19.033330,54.516670,"(19.03333, 54.51667)"
Dalgety Downs,5507,Valid,L4,257000,Found,1941,-25.333330,116.183330,"(-25.33333, 116.18333)"
Suizhou,23738,Valid,L6,260000,Fell,1986,31.616670,113.466670,"(31.61667, 113.46667)"
Tishomingo,24010,Valid,"Iron, ungrouped",260000,Found,1965,34.250000,-96.683330,"(34.25, -96.68333)"
Potter,18878,Valid,L6,261000,Found,1941,41.233330,-103.300000,"(41.23333, -103.3)"
Miles,16641,Valid,"Iron, IIE",265000,Found,1992,-27.833330,150.333330,"(-27.83333, 150.33333)"
Lake Murray,12446,Valid,"Iron, IIAB",270000,Found,1933,34.100000,-97.000000,"(34.1, -97.0)"
Saint-Séverin,23102,Valid,LL6,271000,Fell,1966,45.300000,0.233330,"(45.3, 0.23333)"
Mount Padbury,16785,Valid,Mesosiderite-A1,272000,Found,1964,-25.666670,118.100000,"(-25.66667, 118.1)"
South Dahna,23677,Valid,"Iron, IAB complex",275000,Found,1957,22.566670,48.300000,"(22.56667, 48.3)"
Sanclerlandia,23132,Valid,"Iron, IIIAB",279000,Found,1971,-16.216670,-50.300000,"(-16.21667, -50.3)"
Rio Limay,22609,Valid,L5,280000,Found,1995,-39.850000,-69.483330,"(-39.85, -69.48333)"
Clovis (no. 1),5385,Valid,H3.6,283000,Found,1961,34.300000,-103.134720,"(34.3, -103.13472)"
Bur-Abor,5166,Valid,"Iron, IIIAB",290000,Found,1997,3.983330,41.650000,"(3.98333, 41.65)"
Estacado,10057,Valid,H6,290000,Found,1883,33.900000,-101.750000,"(33.9, -101.75)"
Morasko,16741,Valid,"Iron, IAB-MG",290000,Found,1914,52.466670,16.900000,"(52.46667, 16.9)"
Morland,16746,Valid,H6,295000,Found,1890,39.333330,-100.066670,"(39.33333, -100.06667)"
Mocs,16709,Valid,L5-6,300000,Fell,1882,46.800000,24.033330,"(46.8, 24.03333)"
Putinga,18905,Valid,L6,300000,Fell,1937,-29.033330,-53.050000,"(-29.03333, -53.05)"
North Chile,17001,Valid,"Iron, IIAB",300000,Found,1875,-23.000000,-69.000000,"(-23.0, -69.0)"
Tianlin,23983,Valid,"Iron, IAB complex",300000,Found,1956,24.300000,106.100000,"(24.3, 106.1)"
Bruderheim,5156,Valid,L6,303000,Fell,1960,53.900000,-112.883330,"(53.9, -112.88333)"
Gressk,11200,Valid,"Iron, IIAB",303000,Found,1955,53.233330,27.333330,"(53.23333, 27.33333)"
Nova Petropolis,17928,Valid,"Iron, IIIAB",305000,Found,1967,-29.433330,-50.916670,"(-29.43333, -50.91667)"
Guffey,11441,Valid,"Iron, ungrouped",309000,Found,1907,38.766670,-105.516670,"(38.76667, -105.51667)"
Estherville,10059,Valid,Mesosiderite-A3/4,320000,Fell,1879,43.416670,-94.833330,"(43.41667, -94.83333)"
Tamarugal,23794,Valid,"Iron, IIIAB",320000,Found,1903,-20.800000,-69.666670,"(-20.8, -69.66667)"
Seymchan,23510,Valid,"Pallasite, PMG",323300,Found,1967,62.900000,152.433330,"(62.9, 152.43333)"
Sterlitamak,23724,Valid,"Iron, IIIAB",325000,Fell,1990,53.666670,55.983330,"(53.66667, 55.98333)"
Mount Edith,16773,Valid,"Iron, IIIAB",326000,Found,1913,-22.500000,116.166670,"(-22.5, 116.16667)"
Bjurböle,5064,Valid,L/LL4,330000,Fell,1899,60.400000,25.800000,"(60.4, 25.8)"
Millbillillie,16643,Valid,Eucrite-mmict,330000,Fell,1960,-26.450000,120.366670,"(-26.45, 120.36667)"
Kokstad,12341,Valid,"Iron, IIIE",341000,Found,1884,-30.550000,29.416670,"(-30.55, 29.41667)"
Hugoton,11984,Valid,H5,350000,Found,1927,37.200000,-101.350000,"(37.2, -101.35)"
Longtian,14696,Valid,"Iron, IIIAB",350000,Found,1991,27.350000,108.500000,"(27.35, 108.5)"
Mont Dieu,16722,Valid,"Iron, ungrouped",360000,Found,1994,49.550000,4.866670,"(49.55, 4.86667)"
Mount Joy,16779,Valid,"Iron, IIAB",384000,Found,1887,39.783330,-77.216670,"(39.78333, -77.21667)"
Augustinovka,4898,Valid,"Iron, IIIAB",400000,Found,1890,48.066670,35.083330,"(48.06667, 35.08333)"
Pei Xian,18784,Valid,Iron,400000,Found,1917,34.700000,117.000000,"(34.7, 117.0)"
Allan Hills A76009,1316,Valid,L6,407000,Found,1976,-76.716670,159.666670,"(-76.71667, 159.66667)"
Paragould,18101,Valid,LL5,408000,Fell,1930,36.066670,-90.500000,"(36.06667, -90.5)"
Yanhuitlan,30349,Valid,"Iron, IVA",421000,Found,1825,17.533330,-97.350000,"(17.53333, -97.35)"
Wallapai,24206,Valid,"Iron, IID",430000,Found,1927,35.800000,-113.700000,"(35.8, -113.7)"
Etter,10062,Valid,L5,450000,Found,1965,35.983330,-101.900000,"(35.98333, -101.9)"
Sayh al Uhaymir 001,23193,Valid,L5,450000,Found,2000,20.516670,56.666670,"(20.51667, 56.66667)"
Carbo,5266,Valid,"Iron, IID",454000,Found,1923,29.666670,-111.500000,"(29.66667, -111.5)"
Saint-Aubin,23096,Valid,"Iron, IIIAB",472000,Found,1968,48.483330,3.583330,"(48.48333, 3.58333)"
Jepara,53840,Valid,"Pallasite, PMG",499500,Found,2008,-6.600000,110.733330,"(-6.6, 110.73333)"
Knyahinya,12335,Valid,L/LL5,500000,Fell,1866,48.900000,22.400000,"(48.9, 22.4)"
Ochansk,17979,Valid,H4,500000,Fell,1887,57.783330,55.266670,"(57.78333, 55.26667)"
Boxhole,5126,Valid,"Iron, IIIAB",500000,Found,1937,-22.616670,135.200000,"(-22.61667, 135.2)"
El Timbu,7820,Valid,Iron,500000,Found,1942,-33.116670,-60.966670,"(-33.11667, -60.96667)"
Prambanan,18884,Valid,"Iron, ungrouped",500000,Found,1797,-7.566670,110.833330,"(-7.56667, 110.83333)"
Wildara,24265,Valid,H5,500000,Found,1968,-28.233330,120.850000,"(-28.23333, 120.85)"
Haig,11471,Valid,"Iron, IIIAB",503000,Found,1951,-31.383330,125.633330,"(-31.38333, 125.63333)"
Trenton,24045,Valid,"Iron, IIIAB",505000,Found,1858,43.366670,-88.133330,"(43.36667, -88.13333)"
Tamentit,23798,Valid,"Iron, IIIAB",510000,Found,1864,27.716670,-0.250000,"(27.71667, -0.25)"
Grant,10957,Valid,"Iron, IIIAB",525000,Found,1929,35.166670,-107.883330,"(35.16667, -107.88333)"
Drum Mountains,7733,Valid,"Iron, IIIAB",529000,Found,1944,39.500000,-112.900000,"(39.5, -112.9)"
Rateldraai,22397,Valid,"Iron, IIIAB",549000,Found,1909,-28.833330,21.133330,"(-28.83333, 21.13333)"
Jiddat al Harasis 073,12135,Valid,L6,550000,Found,2002,19.700000,55.733330,"(19.7, 55.73333)"
Long Island,14694,Valid,L6,564000,Found,1891,39.933330,-99.600000,"(39.93333, -99.6)"
Adzhi-Bogdo (iron),389,Valid,"Iron, IAB complex",582000,Found,1952,44.866670,95.416670,"(44.86667, 95.41667)"
Jianshi,12087,Valid,"Iron, IIIAB",600000,Fell,1890,30.808330,109.500000,"(30.80833, 109.5)"
La Caille,12393,Valid,"Iron, ungrouped",626000,Found,1828,43.733330,6.783330,"(43.73333, 6.78333)"
Itapuranga,12057,Valid,"Iron, IAB-MG",628000,Found,,-15.583330,-50.150000,"(-15.58333, -50.15)"
Zerhamra,30403,Valid,"Iron, IIIAB-an",630000,Found,1967,29.858610,-2.645000,"(29.85861, -2.645)"
Arispe,2332,Valid,"Iron, IC",683000,Found,1896,30.333330,-109.983330,"(30.33333, -109.98333)"
Davis Mountains,6615,Valid,"Iron, IIIAB",689000,Found,1903,30.750000,-104.250000,"(30.75, -104.25)"
Krasnojarsk,12356,Valid,"Pallasite, PMG-an",700000,Found,1749,54.900000,91.800000,"(54.9, 91.8)"
Plainview (1917),18841,Valid,H5,700000,Found,1917,34.116670,-101.783330,"(34.11667, -101.78333)"
Mount Dooling,16771,Valid,"Iron, IC",734000,Found,1909,-29.450000,119.716670,"(-29.45, 119.71667)"
Gladstone (iron),10920,Valid,"Iron, IAB-MG",736600,Found,1915,-23.900000,151.300000,"(-23.9, 151.3)"
Esquel,10054,Valid,"Pallasite, PMG",755000,Found,1951,-42.900000,-71.333330,"(-42.9, -71.33333)"
Wolf Creek,24326,Valid,"Iron, IIIAB",760000,Found,1947,-19.300000,127.766670,"(-19.3, 127.76667)"
Red River,22548,Valid,"Iron, IIIAB",800000,Found,1808,32.000000,-95.000000,"(32.0, -95.0)"
Sardis,23177,Valid,"Iron, IAB complex",800000,Found,1940,32.948890,-81.865000,"(32.94889, -81.865)"
Brahin,5130,Valid,"Pallasite, PMG",823000,Found,1810,52.500000,30.333330,"(52.5, 30.33333)"
Santa Rosa,23167,Valid,"Iron, IC",825000,Found,1810,5.916670,-73.000000,"(5.91667, -73.0)"
Bondoc,5103,Valid,Mesosiderite-B4,888600,Found,1956,13.516670,122.450000,"(13.51667, 122.45)"
Zhigansk,30405,Valid,"Iron, IIIAB",900000,Found,1966,68.000000,128.300000,"(68.0, 128.3)"
Imilac,12025,Valid,"Pallasite, PMG",920000,Found,1822,-24.203330,-68.806670,"(-24.20333, -68.80667)"
Cosby's Creek,5450,Valid,"Iron, IAB-MG",960000,Found,1837,35.783330,-83.250000,"(35.78333, -83.25)"
Tucson,24061,Valid,"Iron, ungrouped",975000,Found,1850,31.850000,-110.966670,"(31.85, -110.96667)"
Los Sauces,14710,Valid,Iron,997000,Found,1937,-29.416670,-66.850000,"(-29.41667, -66.85)"
Bilibino,5046,Valid,"Iron, IIAB",1000000,Found,1981,67.300000,160.800000,"(67.3, 160.8)"
Zacatecas (1792),30381,Valid,"Iron, ungrouped",1000000,Found,1792,22.816670,-102.566670,"(22.81667, -102.56667)"
Fukang,34491,Valid,"Pallasite, PMG",1003000,Found,2000,44.433330,87.633330,"(44.43333, 87.63333)"
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998,42.250000,59.200000,"(42.25, 59.2)"
Norton County,17922,Valid,Aubrite,1100000,Fell,1948,39.683330,-99.866670,"(39.68333, -99.86667)"
Murnpeowie,16878,Valid,"Iron, IC",1143000,Found,1909,-29.583330,139.900000,"(-29.58333, 139.9)"
Goose Lake,10947,Valid,"Iron, IAB-sLL",1169500,Found,1938,41.980000,-120.541670,"(41.98, -120.54167)"
Kouga Mountains,12352,Valid,"Iron, IIIAB",1173000,Found,1903,-33.616670,24.000000,"(-33.61667, 24.0)"
Alkhamasin,475,Valid,"Iron, IIAB",1200000,Found,1973,20.600000,44.883330,"(20.6, 44.88333)"
Tsarev,24058,Valid,L5,1225300,Found,1968,48.700000,45.700000,"(48.7, 45.7)"
Santa Apolonia,23160,Valid,"Iron, IIIAB",1316000,Found,1872,19.216670,-98.300000,"(19.21667, -98.3)"
Charcas,5326,Valid,"Iron, IIIAB",1400000,Found,1804,23.083330,-101.016670,"(23.08333, -101.01667)"
Quinn Canyon,22364,Valid,"Iron, IIIAB",1450000,Found,1908,38.083330,-115.533330,"(38.08333, -115.53333)"
Bitburg,5062,Valid,"Iron, IAB complex",1500000,Found,1805,49.966670,6.533330,"(49.96667, 6.53333)"
Casas Grandes,5285,Valid,"Iron, IIIAB",1545000,Found,1867,30.400000,-107.800000,"(30.4, -107.8)"
Gebel Kamil,52031,Valid,"Iron, ungrouped",1600000,Found,2009,22.018330,26.087780,"(22.01833, 26.08778)"
Odessa (iron),17985,Valid,"Iron, IAB-MG",1600000,Found,1922,31.716670,-102.400000,"(31.71667, -102.4)"
Ghubara,10911,Valid,L5,1750000,Found,1954,19.227780,56.142780,"(19.22778, 56.14278)"
Santa Luzia,23166,Valid,"Iron, IIAB",1918000,Found,1921,-16.266670,-47.950000,"(-16.26667, -47.95)"
Allende,2278,Valid,CV3,2000000,Fell,1969,26.966670,-105.316670,"(26.96667, -105.31667)"
Campinorte,52093,Valid,"Iron, ungrouped",2000000,Found,1992,-14.258000,-49.159170,"(-14.258, -49.15917)"
Henbury,11872,Valid,"Iron, IIIAB",2000000,Found,1931,-24.566670,133.166670,"(-24.56667, 133.16667)"
Zhaoping,54609,Valid,"Iron, IAB complex",2000000,Found,1983,24.233330,111.183330,"(24.23333, 111.18333)"
Coahuila,5387,Valid,"Iron, IIAB",2100000,Found,1837,28.700000,-102.733330,"(28.7, -102.73333)"
Navajo,16926,Valid,"Iron, IIAB",2184000,Found,1921,35.333330,-109.500000,"(35.33333, -109.5)"
Huckitta,11922,Valid,"Pallasite, PMG-an",2300000,Found,1924,-22.366670,135.766670,"(-22.36667, 135.76667)"
Wabar,24194,Valid,"Iron, IIIAB",2550000,Found,1863,21.499720,50.472220,"(21.49972, 50.47222)"
Old Woman,18007,Valid,"Iron, IIAB",2753000,Found,1976,34.466670,-115.233330,"(34.46667, -115.23333)"
Al Haggounia 001,44857,Valid,Aubrite,3000000,Found,2006,27.500000,-12.500000,"(27.5, -12.5)"
Toluca,24018,Valid,"Iron, IAB-sLL",3000000,Found,1776,19.566670,-99.566670,"(19.56667, -99.56667)"
Xifu,54608,Valid,"Iron, IAB complex",3000000,Found,2004,36.300000,120.483330,"(36.3, 120.48333)"
Yingde,30363,Valid,"Iron, IVA",3000000,Found,1964,24.200000,113.400000,"(24.2, 113.4)"
Youndegin,30374,Valid,"Iron, IAB-MG",3800000,Found,1884,-32.100000,117.716670,"(-32.1, 117.71667)"
Vaca Muerta,24142,Valid,Mesosiderite-A1,3828000,Found,1861,-25.750000,-70.500000,"(-25.75, -70.5)"
Jilin,12171,Valid,H5,4000000,Fell,1976,44.050000,126.166670,"(44.05, 126.16667)"
Brenham,5136,Valid,"Pallasite, PMG-an",4300000,Found,1882,37.582500,-99.163610,"(37.5825, -99.16361)"
